LAST,FIRST,LEAGUE,TEAM,POSITION,1PG,2PG,SHOTS,ES%
J.D.,Recor,MLL,Lizards,Attack,0,0,3,0.0
Dan,Marino,MLL,Lizards,Goalie,0,0,0,0
Brian,Corrigan,MLL,Lizards,Goalie,0,0,0,0
Eric,Monfort,MLL,Lizards,Midfield,0,0,0,0
Matthew,Borges,MLL,Lizards,Long Stick Midfield,0,0,0,0
Danny,Dolan,MLL,Lizards,Goalie,0,0,0,0
Jack,Tigh,MLL,Lizards,Midfield,0,0,5,0.0
Mark,Andrejack,MLL,Lizards,Midfield,0,0,6,0.0
Michael,Lazore,MLL,Rattlers,Midfield,1,0,11,0.09
Gurenlian,Greg,PLL,Redwoods,Midfield,1,0,10,0.1
Harrison,Kyle,PLL,Redwoods,Midfield,3,0,31,0.1
Colton,Jackson,MLL,Atlas,Midfield,4,0,41,0.1
Kevin,Reisman,MLL,Cannons,Midfield,1,0,10,0.1
Mike,Hernandez,MLL,Outlaws,Midfield,1,0,10,0.1
Jay,Drapeau,MLL,Outlaws,Midfield,2,0,21,0.1
Rice,Kevin,PLL,Archers,Attack,3,0,27,0.11
White,Joel,PLL,Chrome,Defense,1,0,8,0.12
Sexton,John,PLL,Redwoods,Long Stick Midfield,1,0,8,0.12
Scott,Corcoran,MLL,Lizards,Long Stick Midfield,1,0,8,0.12
Ratliff,Scott,PLL,Archers,Long Stick Midfield,2,0,15,0.13
Locascio,Joe,PLL,Whipsnakes,Midfield,3,0,23,0.13
Sankey,Joey,PLL,Archers,Attack,4,0,29,0.14
Hartzell,Kyle,PLL,Atlas,Long Stick Midfield,2,0,14,0.14
Farrell,Connor,PLL,Chrome,Midfield,1,0,7,0.14
Matthew,Bertrams,MLL,Cannons,Midfield,2,0,14,0.14
Shawn,Evans,MLL,Cannons,Attack,1,0,7,0.14
CJ,Costabile,MLL,Bayhawks,Long Stick Midfield,1,1,18,0.14
Tuttle,Max,PLL,Chrome,Midfield,5,0,33,0.15
Alex,Zomerfeld,MLL,Lizards,Midfield,3,0,19,0.16
Sims,Austin,PLL,Archers,Midfield,2,0,12,0.17
Jones,Myles,PLL,Chaos,Midfield,6,1,43,0.17
Freddy,Freibott,MLL,Atlas,Long Stick Midfield,1,0,6,0.17
Jesse,Bernhardt,MLL,Bayhawks,Defense,1,0,6,0.17
Kyle,Buchanan,MLL,Rattlers,Midfield,2,0,12,0.17
Robert,Mooney,MLL,Rattlers,Defense,1,0,6,0.17
MacKay,Ian,PLL,Archers,Midfield,2,0,11,0.18
Sean,Lawton,MLL,Outlaws,Midfield,1,1,14,0.18
Sean,O'Brien,MLL,Lizards,Midfield,3,0,17,0.18
Dennis,Romar,PLL,Chrome,Midfield,3,1,24,0.19
Joe,Reid,MLL,Atlas,Midfield,7,0,36,0.19
Epple,Garrett,PLL,Redwoods,Defense,1,0,5,0.2
Snider,Drew,PLL,Whipsnakes,Midfield,6,0,30,0.2
Teddy,Hatfield,MLL,Atlas,Attack,2,0,10,0.2
Shane,Simpson,MLL,Bayhawks,Midfield,6,0,30,0.2
Brian,Kormondy,MLL,Rattlers,Midfield,10,0,51,0.2
Donny,Moss,MLL,Rattlers,Midfield,2,0,10,0.2
Jake,Seau,MLL,Rattlers,Midfield,5,0,25,0.2
Joe,Saggese,MLL,Rattlers,Attack,3,0,15,0.2
Kohta,Kurashima,MLL,Outlaws,Attack,1,0,5,0.2
Max,Tennant,MLL,Outlaws,Attack,2,0,10,0.2
Ambler,Ryan,PLL,Archers,Attack,3,0,14,0.21
Walters,Joe,PLL,Redwoods,Midfield,9,0,42,0.21
Perkovic,Sergio,PLL,Redwoods,Midfield,9,0,43,0.21
Randy,Staats,MLL,Atlas,Attack,17,0,82,0.21
Tim,Barber,MLL,Outlaws,Midfield,6,1,36,0.21
Mark,Matthews,MLL,Atlas,Attack,8,0,36,0.22
Brendan,Kavanagh,MLL,Outlaws,Midfield,21,0,95,0.22
Rob,Pannell,MLL,Lizards,Attack,32,1,155,0.22
Baptiste,Trevor,PLL,Atlas,Midfield,2,1,15,0.23
Mathias,Simon,PLL,Chrome,Attack,6,0,26,0.23
Reeves,Ben,PLL,Whipsnakes,Attack,6,0,26,0.23
Ryan,Keenan,MLL,Bayhawks,Midfield,7,0,30,0.23
Rabil,Paul,PLL,Atlas,Midfield,10,1,47,0.24
Danowski,Matt,PLL,Chrome,Midfield,7,1,35,0.24
Salcido,Sergio,PLL,Redwoods,Midfield,9,1,43,0.24
Kelly,Connor,PLL,Whipsnakes,Midfield,10,0,41,0.24
John,Uppgren,MLL,Cannons,Attack,7,0,29,0.24
Adam,Osika,MLL,Rattlers,Midfield,8,0,34,0.24
Mikie,Schlosser,MLL,Outlaws,Midfield,16,1,74,0.24
Jack,Jasinski,MLL,Outlaws,Midfield,8,1,39,0.24
McIntosh,Ben,PLL,Archers,Midfield,11,0,44,0.25
Simon,Mike,PLL,Archers,Defense,0,1,6,0.25
Pannell,James,PLL,Atlas,Attack,1,0,4,0.25
Smith,Dhane,PLL,Chaos,Midfield,2,0,8,0.25
McClancy,Kyle,PLL,Chaos,Midfield,1,0,4,0.25
Bocklet,Mike,PLL,Chaos,Attack,1,0,4,0.25
Wolf,Jordan,PLL,Chrome,Attack,16,0,65,0.25
O'Neil,Mike,PLL,Chrome,Midfield,1,0,4,0.25
Karalunas,Brian,PLL,Redwoods,Long Stick Midfield,1,0,4,0.25
Glazener,Eddy,PLL,Redwoods,Defense,1,0,4,0.25
Bernhardt,Jake,PLL,Whipsnakes,Midfield,5,0,20,0.25
Carlson,Jay,PLL,Whipsnakes,Attack,3,0,12,0.25
Warner,Tyler,PLL,Whipsnakes,Midfield,1,0,4,0.25
TJ,Kemp,MLL,Atlas,Attack,1,0,4,0.25
Mike,Skudin,MLL,Cannons,Defense,1,0,4,0.25
Ryan,Fournier,MLL,Rattlers,Long Stick Midfield,1,0,4,0.25
Timmy,Monahan,MLL,Rattlers,Midfield,1,0,4,0.25
Kyle,Killen,MLL,Outlaws,Attack,3,0,12,0.25
Taylor,Stuart,MLL,Outlaws,Midfield,1,0,4,0.25
Zach,Runberg,MLL,Outlaws,Midfield,2,0,8,0.25
Sean,Eccles,MLL,Outlaws,Midfield,1,0,4,0.25
Eipp,Danny,PLL,Archers,Midfield,5,0,19,0.26
